timestamp_utc	device_sample
2026-08-03T16:07:21Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:23Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:24Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:25Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:26Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:27Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:28Z	card0,0,0,0,N/A,0;;
2026-08-03T16:07:29Z	card0,9,0,0,N/A,0;;
2026-08-03T16:07:31Z	card0,18,3,0,N/A,0;;
2026-08-03T16:07:32Z	card0,99,4,0,N/A,0;;
2026-08-03T16:07:33Z	card0,99,4,0,N/A,0;;
2026-08-03T16:07:34Z	card0,99,4,0,N/A,0;;
2026-08-03T16:07:35Z	card0,99,5,0,N/A,0;;
2026-08-03T16:07:36Z	card0,100,5,0,N/A,0;;
2026-08-03T16:07:37Z	card0,79,14,0,N/A,0;;
2026-08-03T16:07:38Z	card0,92,8,2,N/A,0;;
2026-08-03T16:07:40Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:41Z	card0,99,8,3,N/A,0;;
2026-08-03T16:07:42Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:43Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:44Z	card0,99,8,0,N/A,0;;
2026-08-03T16:07:45Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:46Z	card0,98,8,0,N/A,0;;
2026-08-03T16:07:48Z	card0,99,8,0,N/A,0;;
2026-08-03T16:07:49Z	card0,99,8,0,N/A,0;;
2026-08-03T16:07:50Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:51Z	card0,99,8,1,N/A,0;;
2026-08-03T16:07:52Z	card0,99,8,1,N/A,0;;
2026-08-03T16:07:53Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:54Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:55Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:57Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:58Z	card0,100,8,0,N/A,0;;
2026-08-03T16:07:59Z	card0,100,8,0,N/A,0;;
2026-08-03T16:08:00Z	card0,100,8,2,N/A,0;;
2026-08-03T16:08:01Z	card0,99,17,12,N/A,0;;
2026-08-03T16:08:02Z	card0,100,17,43,N/A,0;;
2026-08-03T16:08:03Z	card0,100,17,23,N/A,0;;
2026-08-03T16:08:04Z	card0,99,17,4,N/A,0;;
2026-08-03T16:08:06Z	card0,99,17,17,N/A,0;;
2026-08-03T16:08:07Z	card0,100,17,2,N/A,0;;
2026-08-03T16:08:08Z	card0,99,17,16,N/A,0;;
2026-08-03T16:08:09Z	card0,100,17,2,N/A,0;;
2026-08-03T16:08:10Z	card0,100,17,1,N/A,0;;
2026-08-03T16:08:11Z	card0,99,17,16,N/A,0;;
