timestamp_utc	device_sample
2026-08-03T17:36:48Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:50Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:51Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:52Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:53Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:54Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:55Z	card0,0,0,0,N/A,0;;
2026-08-03T17:36:56Z	card0,10,0,0,N/A,0;;
2026-08-03T17:36:58Z	card0,7,3,0,N/A,0;;
2026-08-03T17:36:59Z	card0,98,4,2,N/A,0;;
2026-08-03T17:37:00Z	card0,98,4,2,N/A,0;;
2026-08-03T17:37:01Z	card0,99,4,1,N/A,0;;
2026-08-03T17:37:02Z	card0,99,4,0,N/A,0;;
2026-08-03T17:37:03Z	card0,98,5,0,N/A,0;;
2026-08-03T17:37:04Z	card0,86,14,2,N/A,0;;
2026-08-03T17:37:05Z	card0,85,8,0,N/A,0;;
2026-08-03T17:37:07Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:08Z	card0,98,8,0,N/A,0;;
2026-08-03T17:37:09Z	card0,99,8,0,N/A,0;;
2026-08-03T17:37:10Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:11Z	card0,99,8,0,N/A,0;;
2026-08-03T17:37:12Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:13Z	card0,99,8,0,N/A,0;;
2026-08-03T17:37:14Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:16Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:17Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:18Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:19Z	card0,99,8,1,N/A,0;;
2026-08-03T17:37:20Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:21Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:22Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:23Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:25Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:26Z	card0,100,8,0,N/A,0;;
2026-08-03T17:37:27Z	card0,100,8,1,N/A,0;;
2026-08-03T17:37:28Z	card0,99,17,12,N/A,0;;
2026-08-03T17:37:29Z	card0,99,17,23,N/A,0;;
2026-08-03T17:37:30Z	card0,99,17,17,N/A,0;;
2026-08-03T17:37:31Z	card0,100,17,15,N/A,0;;
2026-08-03T17:37:33Z	card0,99,17,16,N/A,0;;
2026-08-03T17:37:34Z	card0,99,17,1,N/A,0;;
2026-08-03T17:37:35Z	card0,100,17,2,N/A,0;;
2026-08-03T17:37:36Z	card0,99,17,12,N/A,0;;
2026-08-03T17:37:37Z	card0,100,17,15,N/A,0;;
2026-08-03T17:37:38Z	card0,100,17,15,N/A,0;;
2026-08-03T17:37:39Z	card0,99,17,71,N/A,0;;
2026-08-03T17:37:40Z	card0,98,17,16,N/A,0;;
2026-08-03T17:37:42Z	card0,99,17,16,N/A,0;;
2026-08-03T17:37:43Z	card0,99,17,16,N/A,0;;
2026-08-03T17:37:44Z	card0,99,17,5,N/A,0;;
