timestamp_utc	device_sample
2026-08-03T19:07:40Z	card0,1,0,0,N/A,0;;
2026-08-03T19:07:41Z	card0,0,0,0,N/A,0;;
2026-08-03T19:07:42Z	card0,0,0,0,N/A,0;;
2026-08-03T19:07:43Z	card0,0,0,0,N/A,0;;
2026-08-03T19:07:44Z	card0,0,0,0,N/A,0;;
2026-08-03T19:07:45Z	card0,0,0,0,N/A,0;;
2026-08-03T19:07:47Z	card0,12,0,0,N/A,0;;
2026-08-03T19:07:48Z	card0,6,3,0,N/A,0;;
2026-08-03T19:07:49Z	card0,86,4,2,N/A,0;;
2026-08-03T19:07:50Z	card0,99,4,15,N/A,0;;
2026-08-03T19:07:51Z	card0,64,4,9,N/A,0;;
2026-08-03T19:07:52Z	card0,29,4,2,N/A,0;;
2026-08-03T19:07:53Z	card0,99,4,15,N/A,0;;
2026-08-03T19:07:55Z	card0,96,4,15,N/A,0;;
2026-08-03T19:07:56Z	card0,31,4,4,N/A,0;;
2026-08-03T19:07:57Z	card0,61,4,9,N/A,0;;
2026-08-03T19:07:58Z	card0,98,4,14,N/A,0;;
2026-08-03T19:07:59Z	card0,96,4,14,N/A,0;;
2026-08-03T19:08:00Z	card0,0,4,0,N/A,0;;
2026-08-03T19:08:01Z	card0,94,4,2,N/A,0;;
2026-08-03T19:08:02Z	card0,99,4,15,N/A,0;;
2026-08-03T19:08:04Z	card0,63,4,0,N/A,0;;
