timestamp_utc	device_sample
2026-08-03T15:55:38Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:39Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:40Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:42Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:43Z	card0,1,0,0,N/A,0;;
2026-08-03T15:55:44Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:45Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:46Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:47Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:48Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:49Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:51Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:52Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:53Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:54Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:55Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:57Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:58Z	card0,0,0,0,N/A,0;;
2026-08-03T15:55:59Z	card0,1,0,0,N/A,0;;
2026-08-03T15:56:00Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:01Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:02Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:04Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:05Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:06Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:07Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:08Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:09Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:10Z	card0,2,0,0,N/A,0;;
2026-08-03T15:56:11Z	card0,1,0,0,N/A,0;;
2026-08-03T15:56:13Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:14Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:15Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:16Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:18Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:19Z	card0,2,0,0,N/A,0;;
2026-08-03T15:56:20Z	card0,1,0,0,N/A,0;;
2026-08-03T15:56:21Z	card0,0,0,0,N/A,0;;
2026-08-03T15:56:23Z	card0,3,1,0,N/A,0;;
2026-08-03T15:56:24Z	card0,1,1,0,N/A,0;;
2026-08-03T15:56:25Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:26Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:27Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:29Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:30Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:31Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:32Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:33Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:34Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:35Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:36Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:38Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:39Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:40Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:41Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:42Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:43Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:44Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:46Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:47Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:48Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:49Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:50Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:51Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:52Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:53Z	card0,0,1,0,N/A,0;;
2026-08-03T15:56:55Z	card0,0,1,0,N/A,0;;
