timestamp_utc	device_sample
2026-08-03T17:35:29Z	card0,1,0,0,N/A,0;;
2026-08-03T17:35:30Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:31Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:32Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:33Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:34Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:35Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:37Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:38Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:39Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:40Z	card0,2,0,0,N/A,0;;
2026-08-03T17:35:41Z	card0,1,0,0,N/A,0;;
2026-08-03T17:35:43Z	card0,2,0,0,N/A,0;;
2026-08-03T17:35:44Z	card0,0,0,0,N/A,0;;
2026-08-03T17:35:46Z	card0,3,1,0,N/A,0;;
2026-08-03T17:35:47Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:48Z	card0,1,1,0,N/A,0;;
2026-08-03T17:35:49Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:50Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:51Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:52Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:53Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:55Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:56Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:57Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:58Z	card0,0,1,0,N/A,0;;
2026-08-03T17:35:59Z	card0,0,1,0,N/A,0;;
2026-08-03T17:36:00Z	card0,0,1,0,N/A,0;;
2026-08-03T17:36:01Z	card0,0,1,0,N/A,0;;
2026-08-03T17:36:03Z	card0,1,1,0,N/A,0;;
2026-08-03T17:36:04Z	card0,3,1,0,N/A,0;;
2026-08-03T17:36:05Z	card0,35,2,0,N/A,0;;
2026-08-03T17:36:06Z	card0,91,2,0,N/A,0;;
2026-08-03T17:36:07Z	card0,91,2,0,N/A,0;;
2026-08-03T17:36:08Z	card0,91,2,0,N/A,0;;
2026-08-03T17:36:09Z	card0,51,2,0,N/A,0;;
