timestamp_utc	device_sample
2026-08-03T19:05:44Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:45Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:46Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:47Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:49Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:50Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:51Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:52Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:53Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:55Z	card0,0,0,0,N/A,0;;
2026-08-03T19:05:56Z	card0,2,0,0,N/A,0;;
2026-08-03T19:05:57Z	card0,3,0,0,N/A,0;;
2026-08-03T19:05:58Z	card0,1,0,0,N/A,0;;
2026-08-03T19:06:00Z	card0,2,1,0,N/A,0;;
2026-08-03T19:06:01Z	card0,1,1,0,N/A,0;;
2026-08-03T19:06:02Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:03Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:04Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:05Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:07Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:08Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:09Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:10Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:11Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:12Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:13Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:15Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:16Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:17Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:18Z	card0,0,1,0,N/A,0;;
2026-08-03T19:06:19Z	card0,2,1,0,N/A,0;;
2026-08-03T19:06:20Z	card0,3,1,0,N/A,0;;
2026-08-03T19:06:21Z	card0,54,2,0,N/A,0;;
2026-08-03T19:06:22Z	card0,84,2,0,N/A,0;;
2026-08-03T19:06:24Z	card0,83,2,0,N/A,0;;
2026-08-03T19:06:25Z	card0,83,2,0,N/A,0;;
2026-08-03T19:06:26Z	card0,84,2,0,N/A,0;;
2026-08-03T19:06:27Z	card0,7,2,0,N/A,0;;
