timestamp_utc	device_sample
2026-08-04T09:52:53Z	card0,0,0,0,N/A,0;;
2026-08-04T09:52:54Z	card0,35,0,2,N/A,0;;
2026-08-04T09:52:56Z	card0,45,0,3,N/A,0;;
2026-08-04T09:52:57Z	card0,45,0,0,N/A,0;;
2026-08-04T09:52:58Z	card0,45,0,5,N/A,0;;
2026-08-04T09:52:59Z	card0,44,0,1,N/A,0;;
2026-08-04T09:53:00Z	card0,44,0,3,N/A,0;;
2026-08-04T09:53:01Z	card0,44,0,1,N/A,0;;
2026-08-04T09:53:02Z	card0,43,0,3,N/A,0;;
2026-08-04T09:53:04Z	card0,43,0,16,N/A,0;;
2026-08-04T09:53:05Z	card0,44,0,3,N/A,0;;
2026-08-04T09:53:06Z	card0,43,0,3,N/A,0;;
2026-08-04T09:53:07Z	card0,43,0,0,N/A,0;;
2026-08-04T09:53:08Z	card0,42,0,3,N/A,0;;
2026-08-04T09:53:09Z	card0,43,0,3,N/A,0;;
2026-08-04T09:53:10Z	card0,42,0,3,N/A,0;;
2026-08-04T09:53:11Z	card0,43,0,3,N/A,0;;
