timestamp_utc	device_sample
2026-08-03T19:08:07Z	card0,2,0,0,N/A,0;;
2026-08-03T19:08:09Z	card0,0,0,0,N/A,0;;
2026-08-03T19:08:10Z	card0,0,0,0,N/A,0;;
2026-08-03T19:08:11Z	card0,0,0,0,N/A,0;;
2026-08-03T19:08:12Z	card0,0,0,0,N/A,0;;
2026-08-03T19:08:13Z	card0,7,0,0,N/A,0;;
2026-08-03T19:08:14Z	card0,5,0,0,N/A,0;;
2026-08-03T19:08:15Z	card0,17,3,3,N/A,0;;
2026-08-03T19:08:17Z	card0,99,4,16,N/A,0;;
2026-08-03T19:08:18Z	card0,96,4,2,N/A,0;;
2026-08-03T19:08:19Z	card0,43,4,0,N/A,0;;
2026-08-03T19:08:20Z	card0,51,4,8,N/A,0;;
2026-08-03T19:08:21Z	card0,96,4,26,N/A,0;;
2026-08-03T19:08:22Z	card0,100,4,15,N/A,0;;
2026-08-03T19:08:23Z	card0,8,4,0,N/A,0;;
2026-08-03T19:08:24Z	card0,86,4,27,N/A,0;;
2026-08-03T19:08:26Z	card0,100,4,15,N/A,0;;
2026-08-03T19:08:27Z	card0,69,4,10,N/A,0;;
2026-08-03T19:08:28Z	card0,18,4,32,N/A,0;;
2026-08-03T19:08:29Z	card0,98,4,14,N/A,0;;
2026-08-03T19:08:30Z	card0,99,4,2,N/A,0;;
2026-08-03T19:08:31Z	card0,42,4,0,N/A,0;;
